newspaper_name,city,state,state_full
Glenwood Herald,Glenwood,Ark.,Arkansas
Gallatin County News,Warsaw,Ky.,Kentucky
Loogootee Tribune,Loogootee,Ind.,Indiana
Crowley Star,Crowley,Texas,Texas
Montesano Vidette,Montesano,Wash.,Washington
Clark County Courier,Clark,S.D.,South Dakota
Mountain Messenger The,Downieville,Calif.,California
Secaucus Journal,Secaucus,N.J.,New Jersey
Avon Grove Sun,West Grove,Pa.,Pennsylvania
Waterford Post,Waterford,Wisc.,Wisconsin
Copper Basin News,Kearny,Ariz.,Arizona
Citizen Georgian,Montezuma,Ga.,Georgia
ThisWeek Marysville News,Marysville,Ohio,Ohio
Audubon County Advocate Journal,Audubon,Iowa,Iowa
Licking News,Licking,Mo.,Missouri
Advance of Bucks County,Newtown,Pa.,Pennsylvania
Sabine County Reporter,Hemphill,Texas,Texas
Wilk-Amite Record,Gloster,Miss.,Mississippi
Taylor Daily Press,Taylor,Texas,Texas
Wisconsin Dells Events,Wisconsin Dells,Wisc.,Wisconsin
Vedette,Greenfield,Mo.,Missouri
Lake County Tribune,Jefferson,Ohio,Ohio
Mukwonago Chief,Mukwonago,Wisc.,Wisconsin
Lake Region Monitor,Keystone Heights,Fla.,Florida
Union Springs Herald,Union Springs,Ala.,Alabama
Atkins Chronicle,Atkins,Ark.,Arkansas
Pawnee Chief,Pawnee,Okla.,Oklahoma
Hardin County Independent,Elizabethtown,Ill.,Illinois
Townsend Star,Townsend,Mont.,Montana
Waco Citizen,Waco,Texas,Texas
Luverne Journal,Luverne,Ala.,Alabama
Los Angeles Wave - Press,Los Angeles,Calif.,California
Tunica Times,Tunica,Miss.,Mississippi
County Star News,Shamrock,Texas,Texas
Sayre Record/Beckham County Democrat,Sayre,Okla.,Oklahoma
Chronicle,Humboldt,Tenn.,Tennessee
Pacesetting Times,Horseshoe Bend,Ark.,Arkansas
Declaration,Independence,Va.,Virginia
Neosho Daily News,Neosho,Mo.,Missouri
Mascoutah Herald,Mascoutah,Ill.,Illinois
Middletown Times Star,Middletown,Calif.,California
Sanpete Messenger,Ephraim,Utah,Utah
Clinton County Leader,Plattsburg,Mo.,Missouri
Chatham Clarion,Chatham,Ill.,Illinois
Pendleton Times-Post,Pendleton,Ind.,Indiana
Crestline Advocate,Crestline,Ohio,Ohio
Midland Park Suburban News,Ridgewood,N.J.,New Jersey
Adams County Free Press,Corning,Iowa,Iowa
Windham Journal,Windham,N.Y.,New York
Jefferson Star,Rigby,Idaho,Idaho
Enterprise Dispatch,Dassel,Minn.,Minnesota
Farmers Independent,Bagley,Minn.,Minnesota
Mountrail County Promoter,Stanley,N.D.,North Dakota
Sun Sentinel,Charleston,Miss.,Mississippi
Stuttgart Daily Leader The,Stuttgart,Ark.,Arkansas
Union County Leader,Clayton,N.M.,New Mexico
Glenview Announcements,Glenview,Ill.,Illinois
Long Prairie Leader,Long Prairie,Minn.,Minnesota
Chronicle Times,Cherokee,Iowa,Iowa
Lamb County Leader News,Littlefield,Texas,Texas
Tri-County News,Kimball,Minn.,Minnesota
Papillion Times,Papillion,Neb.,Nebraska
Phillips County News,Malta,Mont.,Montana
Villager Journal,Cherokee Village,Ark.,Arkansas
Times-Republic,Watseka,Ill.,Illinois
News Observer,Vienna,Ga.,Georgia
White River Journal,Des Arc,Ark.,Arkansas
Marlin Democrat,Marlin,Texas,Texas
Nobles County Review,Adrian,Minn.,Minnesota
Wayland Town Crier,Wayland,Mass.,Massachusetts
Glacier Reporter,Browning,Mont.,Montana
Mountaineer Echo,Flippin,Ark.,Arkansas
Kalona News,Kalona,Iowa,Iowa
Blade-Empire,Concordia,Kan.,Kansas
Zavala County Sentinel,Crystal City,Texas,Texas
Abbeville Herald,Abbeville,Ala.,Alabama
Mexia Daily News,Mexia,Texas,Texas
Louisburg Herald,Louisburg,Kan.,Kansas
Teton Valley News,Driggs,Idaho,Idaho
Belmont Citizen-Herald,Belmont,Mass.,Massachusetts
Northwestern Press,Allentown,Pa.,Pennsylvania
Eureka Herald,Eureka,Kan.,Kansas
News-Sun,Newport,Pa.,Pennsylvania
Skokie Review,Skokie,Ill.,Illinois
Hardwick Gazette,Hardwick,Vt.,Vermont
Sturgis News,Sturgis,Ky.,Kentucky
Pleasant Hill Times,Pleasant Hill,Mo.,Missouri
Minneapolis Messenger,Minneapolis,Kan.,Kansas
Chewelah Independent,Chewelah,Wash.,Washington
Guymon Daily Herald,Guymon,Okla.,Oklahoma
Lake Mills Graphic,Lake Mills,Iowa,Iowa
Clarinda Herald-Journal,Clarinda,Iowa,Iowa
Lyons Daily News,Lyons,Kan.,Kansas
State Line Observer,Morenci,Mich.,Michigan
Paynesville Press,Paynesville,Minn.,Minnesota
Eagle Grove Eagle,Eagle Grove,Iowa,Iowa
Redford Observer,Livonia,Mich.,Michigan
North Jefferson News,Gardendale,Ala.,Alabama
Daily News,Kingsport,Tenn.,Tennessee
Mechanicsburg Telegram,Mechanicsburg,Ohio,Ohio
Wapello Republican,Wapello,Iowa,Iowa
Williston Pioneer Sun-News,Williston,Fla.,Florida
Friendswood Reporter News,Pearland,Texas,Texas
Plain Talk,Vermillion,S.D.,South Dakota
Valders Journal,Valders,Wisc.,Wisconsin
Alpine Avalanche,Alpine,Texas,Texas
Clifton Record,Clifton,Texas,Texas
Observer-News-Enterprise,Newton,N.C.,North Carolina
Weekly Observer,Hemingway,S.C.,South Carolina
Red Springs Citizen,Red Springs,N.C.,North Carolina
Newport Independent,Newport,Ark.,Arkansas
Dalhart Texan,Dalhart,Texas,Texas
Hartsville VidetteThe,Hartsville,Tenn.,Tennessee
Hugoton Hermes,Hugoton,Kan.,Kansas
San Juan Record,Monticello,Utah,Utah
Sumner Press,Sumner,Ill.,Illinois
Cloverdale Reveille,Cloverdale,Calif.,California
Russell County News,Russell,Kan.,Kansas
Democrat-Leader,Fayette,Mo.,Missouri
Fayette Advertiser,Fayette,Mo.,Missouri
Hiawatha World,Hiawatha,Kan.,Kansas
Granville Sentinel The,Granville,Ohio,Ohio
Minden Courier,Minden,Neb.,Nebraska
Imperial Republican,Imperial,Neb.,Nebraska
Limestone Independent News,Bartonville,Ill.,Illinois
Observer,Hasbrouck Heights,N.J.,New Jersey
Journal,Corry,Pa.,Pennsylvania
Atkinson Graphic,Atkinson,Neb.,Nebraska
Glenns Ferry Gazette,Glenns Ferry,Idaho,Idaho
Sandusky Tribune & Deckerville Recorder,Deckerville,Mich.,Michigan
Enterprise,Bucksport,Maine,Maine
Clintonville Tribune-Gazette,Clintonville,Wisc.,Wisconsin
Monticello Times,Monticello,Minn.,Minnesota
Madisonian,Ennis,Mont.,Montana
Swift County Monitor-News,Benson,Minn.,Minnesota
News Chief,Winter Haven,Fla.,Florida
Clay County Republican,Louisville,Ill.,Illinois
Jefferson Herald,Jefferson,Iowa,Iowa
Fulton Leader,Fulton,Ky.,Kentucky
Clyde Journal,Clyde,Texas,Texas
Sparta Ishmaelite,Sparta,Ga.,Georgia
Blytheville Courier-News,Blytheville,Ark.,Arkansas
Mount Ayr Record-News,Mount Ayr,Iowa,Iowa
Raynham Call,Raynham,Mass.,Massachusetts
Estherville News,Estherville,Iowa,Iowa
Greenwood Democrat,Greenwood,Ark.,Arkansas
Thermopolis Independent Record,Thermopolis,Wyo.,Wyoming
Star The,South Sioux City,Neb.,Nebraska
Gonzales Inquirer,Gonzales,Texas,Texas
Citizen,Wantagh,N.Y.,New York
Burnett County Sentinel,Grantsburg,Wisc.,Wisconsin
Wilton Bulletin,Wilton,Conn.,Connecticut
Phoenix Register,Phoenix,N.Y.,New York
Northwest Iowa Extra,Rock Rapids,Iowa,Iowa
Llano County Journal,Llano,Texas,Texas
Hill City Times,Hill City,Kan.,Kansas
Hagerstown Herald-Mail,Hagerstown,Ind.,Indiana
Herald,Sharpsburg,Pa.,Pennsylvania
Wayne Eagle,Wayne,Mich.,Michigan
Shiner Gazette,Shiner,Texas,Texas
Commercial Recorder,Fort Worth,Texas,Texas
Health City Sun,Albuquerque,N.M.,New Mexico
Steele Enterprise,Steele,Mo.,Missouri
Albion New Era,Albion,Ind.,Indiana
Bennett County Booster II,Martin,S.D.,South Dakota
Big Horn County News,Hardin,Mont.,Montana
Western News,Libby,Mont.,Montana
Ness County News,Ness City,Kan.,Kansas
Sanger Courier,Sanger,Texas,Texas
Augusta Daily Gazette,Augusta,Kan.,Kansas
Okanogan Valley Gazette-Tribune,Oroville,Wash.,Washington
Community News,Aledo,Texas,Texas
Poplarville Democrat,Poplarville,Miss.,Mississippi
Dawson Springs Progress,Dawson Springs,Ky.,Kentucky
Sheldon Mail-Sun,Sheldon,Iowa,Iowa
Chenango American/Whitney Point Report Th,Greene,N.Y.,New York
Cleveland County Herald,Rison,Ark.,Arkansas
Delaware County Journal,Jay,Okla.,Oklahoma
Atchison County Mail,Rock Port,Mo.,Missouri
Tarkio Avalanche,Tarkio,Mo.,Missouri
Barbers Hill Dayton Press,Mont Belvieu,Texas,Texas
Hampton Chronicle,Hampton,Iowa,Iowa
Elgin Courier,Elgin,Texas,Texas
Vandalia Leader-Press,Vandalia,Mo.,Missouri
Herscher Pilot,Herscher,Ill.,Illinois
Kansas Chief The,Wathena,Kan.,Kansas
Benton County News,Foley,Minn.,Minnesota
McIntosh County Democrat,Checotah,Okla.,Oklahoma
Parkersburg Eclipse-News-Review,Parkersburg,Iowa,Iowa
San Pedro Valley News-Sun,Benson,Ariz.,Arizona
Calhoun Times The,St Matthews,S.C.,South Carolina
Wadena Pioneer Journal,Wadena,Minn.,Minnesota
Ida County Courier,Ida Grove,Iowa,Iowa
Monroe County Appeal,Paris,Mo.,Missouri
Grinnell Herald-Register,Grinnell,Iowa,Iowa
County Journal,Washburn,Wisc.,Wisconsin
Greene Prairie Press,White Hall,Ill.,Illinois
Central Delta Argus-Sun,Brinkley,Ark.,Arkansas
Garnet Valley Press,West Chester,Pa.,Pennsylvania
Mount Horeb Mail,Mount Horeb,Wisc.,Wisconsin
News Tribune,Hicksville,Ohio,Ohio
Refugio County Press,Refugio,Texas,Texas
Carrizo Springs Javelin,Carrizo Springs,Texas,Texas
Malakoff News,Malakoff,Texas,Texas
Nevada County Picayune,Prescott,Ark.,Arkansas
McCormick Messenger,McCormick,S.C.,South Carolina
Kings Mountain Herald,Kings Mountain,N.C.,North Carolina
Denton Orator,Denton,N.C.,North Carolina
Campbell Express,Campbell,Calif.,California
Fayette Tribune The,Oak Hill,W.Va.,West Virginia
Dixon Pilot,Dixon,Mo.,Missouri
Belle Banner,Belle,Mo.,Missouri
Springs Valley Herald,French Lick,Ind.,Indiana
Lawson Review,Lawson,Mo.,Missouri
Arcola Record-Herald,Arcola,Ill.,Illinois
St Joseph Telegraph,St Joseph,Mo.,Missouri
Swarthmorean,Swarthmore,Pa.,Pennsylvania
Call-Leader,Elwood,Ind.,Indiana
Chronicle,Hoopeston,Ill.,Illinois
Press-News The,Minerva,Ohio,Ohio
Gilman Star,Gilman,Ill.,Illinois
Columbia Paper,Ghent,N.Y.,New York
Pittsfield Gazette,Pittsfield,Mass.,Massachusetts
Buhl Herald,Buhl,Idaho,Idaho
Cedar County News,Hartington,Neb.,Nebraska
Todd County Tribune,Mission,S.D.,South Dakota
Kuna Melba News,Kuna,Idaho,Idaho
Weiser Signal American,Weiser,Idaho,Idaho
Marion Advertiser,Marion,Wisc.,Wisconsin
Staples World,Staples,Minn.,Minnesota
Pilot-Independent,Walker,Minn.,Minnesota
Leavenworth Echo,Leavenworth,Wash.,Washington
Davenport Times,Davenport,Wash.,Washington
Blaine County Journal/News-Opinion,Chinook,Mont.,Montana
Carroll County Review,Thomson,Ill.,Illinois
Catskill Daily Mail,Catskill,N.Y.,New York
Bandera Bulletin,Bandera,Texas,Texas
Shelter Island Reporter,Shelter Island,N.Y.,New York
Yates Center News,Yates Center,Kan.,Kansas
Mason County News,Mason,Texas,Texas
Archbold Buckeye,Archbold,Ohio,Ohio
Kemper County Messenger,De Kalb,Miss.,Mississippi
Countywide & Sun,Shawnee,Okla.,Oklahoma
Wylie News,Wylie,Texas,Texas
Murphy Monitor,Wylie,Texas,Texas
Manito Review,Manito,Ill.,Illinois
Cass County Sun,Linden,Texas,Texas
Southern Utah News,Kanab,Utah,Utah
Mansfield Mirror,Mansfield,Mo.,Missouri
Benson County Farmers Press,Minnewaukan,N.D.,North Dakota
Bullhead City Bee,Bullhead City,Ariz.,Arizona
Ouray County Plaindealer,Ouray,Colo.,Colorado
San Patricio County News,Sinton,Texas,Texas
Texan Express,Goliad,Texas,Texas
Assumption Pioneer,Napoleonville,La.,Louisiana
San Jacinto News-Times,Shepherd,Texas,Texas
Hometown News,Hewitt,Texas,Texas
Middletown Valley Citizen,Middletown,Md.,Maryland
Mountain-Ear,Nederland,Colo.,Colorado
Democrat Message,Mount Sterling,Ill.,Illinois
Heath News,Heath,Ohio,Ohio
Pelham Weekly,Pelham,N.Y.,New York
Goshen Independent,Goshen,N.Y.,New York
Pierce County Leader,Pierce,Neb.,Nebraska
Kirbyville Banner,Kirbyville,Texas,Texas
Daily World The,Helena,Ark.,Arkansas
Coal City Courant,Coal City,Ill.,Illinois
Ponte Vedra Recorder,Ponte Vedra Beach,Fla.,Florida
North Ouachita Weekly News,Sterlington,La.,Louisiana
Coffeeville Courier,Coffeeville,Miss.,Mississippi
Cleveland American,Cleveland,Okla.,Oklahoma
Cherokee Messenger & Republican,Cherokee,Okla.,Oklahoma
Council Grove Republican,Council Grove,Kan.,Kansas
Boone County Journal,Ashland,Mo.,Missouri
Calhoun News-Herald,Hardin,Ill.,Illinois
Tecumseh Chieftain,Tecumseh,Neb.,Nebraska
Hancock County Courier,New Cumberland,W.Va.,West Virginia
Loudonville Times,Loudonville,Ohio,Ohio
Ritzville Adams County Journal,Ritzville,Wash.,Washington
Bisbee Observer,Bisbee,Ariz.,Arizona
Orchard Park Bee,Orchard Park,N.Y.,New York
Thorp Courier,Thorp,Wisc.,Wisconsin
Foggy Bottom Current,Washington,D.C.,District of Columbia
York Weekly,York,Maine,Maine
De Forest Times-Tribune,De Forest,Wisc.,Wisconsin
Houston County News,La Crescent,Minn.,Minnesota
Sheboygan Falls News,Sheboygan Falls,Wisc.,Wisconsin
Chatham Record,Pittsboro,N.C.,North Carolina
Harnett County News,Lillington,N.C.,North Carolina
Progress Examiner,Orleans,Ind.,Indiana
Lindale News & Times,Lindale,Texas,Texas
Camp Verde Bugle,Cottonwood,Ariz.,Arizona
Shelby Promoter,Shelby,Mont.,Montana
Leon Journal-Reporter,Leon,Iowa,Iowa
Hamburg Area Item,Hamburg,Pa.,Pennsylvania
Gering Courier,Gering,Neb.,Nebraska
Gothenburg Times,Gothenburg,Neb.,Nebraska
Bellville Star & Tri-Forks Press,Bellville,Ohio,Ohio
St Anthony Bulletin,St Anthony,Minn.,Minnesota
Tobacco Valley News,Eureka,Mont.,Montana
Carver County News,Watertown,Minn.,Minnesota
Pickett County Press,Byrdstown,Tenn.,Tennessee
Onaway Outlook,Onaway,Mich.,Michigan
Nebraska City News-Press,Nebraska City,Neb.,Nebraska
Appleton Press,Appleton,Minn.,Minnesota
Granite Falls Advocate Tribune,Clarkfield,Minn.,Minnesota
Brillion News,Brillion,Wisc.,Wisconsin
Stillwater County News,Columbus,Mont.,Montana
Greenwich Journal & Salem Press,Greenwich,N.Y.,New York
Western Observer,Anson,Texas,Texas
West Carroll Gazette The,Oak Grove,La.,Louisiana
Hereford Brand,Hereford,Texas,Texas
Stroud American,Stroud,Okla.,Oklahoma
Current Local,Van Buren,Mo.,Missouri
Spencer County Leader,Dale,Ind.,Indiana
Okawville Times,Okawville,Ill.,Illinois
News-Ledger,West Sacramento,Calif.,California
Times Record,Spencer,W.Va.,West Virginia
Western Kansas World,Wakeeney,Kan.,Kansas
Limon Leader The,Limon,Colo.,Colorado
Pleasants County Leader,St Marys,W.Va.,West Virginia
Mason City Banner Times,Mason City,Ill.,Illinois
Utica Herald,Utica,Ohio,Ohio
Journal News,Spencerville,Ohio,Ohio
Bremen Enquirer,Bremen,Ind.,Indiana
News Eagle,Hawley,Pa.,Pennsylvania
Highland Review,Riverside,Iowa,Iowa
Albion News,Albion,Neb.,Nebraska
Medfield Press,Medfield,Mass.,Massachusetts
Wayne Herald,Wayne,Neb.,Nebraska
Carlisle Mosquito,Carlisle,Mass.,Massachusetts
Palmyra Enterprise,Palmyra,Wisc.,Wisconsin
Durand Express,Durand,Mich.,Michigan
Myrtle Point Herald,Myrtle Point,Ore.,Oregon
Lodi Enterprise,Lodi,Wisc.,Wisconsin
Jackson County Chronicle,Black River Falls,Wisc.,Wisconsin
Perham Focus,New York Mills,Minn.,Minnesota
Frazee-Vergas Forum,Frazee,Minn.,Minnesota
Valley City Times-Record,Valley City,N.D.,North Dakota
Soperton News,Soperton,Ga.,Georgia
Skiatook Journal,Skiatook,Okla.,Oklahoma
Ord Quiz,Ord,Neb.,Nebraska
Northwestern Illinois Farmer,Lena,Ill.,Illinois
Prophetstown Echo,Prophetstown,Ill.,Illinois
Wahpeton Daily News,Wahpeton,N.D.,North Dakota
Democrat,Emmetsburg,Iowa,Iowa
Deposit Courier,Deposit,N.Y.,New York
Beulah Beacon,Beulah,N.D.,North Dakota
Electra Star-News,Electra,Texas,Texas
Grundy Register,Grundy Center,Iowa,Iowa
Marthasville Record,Marthasville,Mo.,Missouri
Jefferson Jimplecute,Jefferson,Texas,Texas
Dutch Harbor Fisherman,Unalaska,Alaska,Alaska
McDonough County Voice The,Macomb,Ill.,Illinois
Register Citizen,Torrington,Conn.,Connecticut
Harbor Light,Harbor Springs,Mich.,Michigan
Republic Monitor,Republic,Mo.,Missouri
Commerce Journal,Greenville,Texas,Texas
Lovell Chronicle,Lovell,Wyo.,Wyoming
Cameron Herald,Cameron,Texas,Texas
Hall County Herald,Memphis,Texas,Texas
Astoria South Fulton Argus,Astoria,Ill.,Illinois
Doings Western Springs,Western Springs,Ill.,Illinois
Savanna Times-Journal,Savanna,Ill.,Illinois
Herington Times,Herington,Kan.,Kansas
Eagle Lake Headlight,Eagle Lake,Texas,Texas
Keene Star,Keene,Texas,Texas
Daily Freeman-Journal,Webster City,Iowa,Iowa
Charleston Express,Charleston,Ark.,Arkansas
Webb City Sentinel,Webb City,Mo.,Missouri
Valentine Midland News,Valentine,Neb.,Nebraska
Miller Press,Miller,S.D.,South Dakota
Baldwin Bulletin,Baldwin,Wisc.,Wisconsin
River Press,Fort Benton,Mont.,Montana
Rensselaer Republican,Rensselaer,Ind.,Indiana
Bixby Bulletin,Bixby,Okla.,Oklahoma
Canadian Record,Canadian,Texas,Texas
Weston Town Crier,Weston,Mass.,Massachusetts
Dardanelle Post-Dispatch,Dardanelle,Ark.,Arkansas
Dallas Post Tribune,Dallas,Texas,Texas
Wilber Republican,Wilber,Neb.,Nebraska
Hartville News,Hartville,Ohio,Ohio
Free Press Advocate The,Wilmington,Ill.,Illinois
Mathis News,Mathis,Texas,Texas
Estacada County News,Estacada,Ore.,Oregon
Hazen Star,Hazen,N.D.,North Dakota
Lake Powell Chronicle,Page,Ariz.,Arizona
Lake County News-Chronicle,Two Harbors,Minn.,Minnesota
Pilot Point Post Signal,Pilot Point,Texas,Texas
Herald-News,Wolf Point,Mont.,Montana
Lonoke Democrat,Lonoke,Ark.,Arkansas
Johnsonburg Press,Johnsonburg,Pa.,Pennsylvania
Battle Lake Review,Battle Lake,Minn.,Minnesota
Ajo Copper News,Ajo,Ariz.,Arizona
Marion Times-Standard,Marion,Ala.,Alabama
Wisner News-Chronicle,Wisner,Neb.,Nebraska
Letcher County Community Press,Jenkins,Ky.,Kentucky
Douglas County Mail,Myrtle Creek,Ore.,Oregon
Valdez Star The,Valdez,Alaska,Alaska
Gardner News,Gardner,Kan.,Kansas
Crawford County Independent & Kickapoo Scout,Gays Mills,Wisc.,Wisconsin
Arizona Range News,Willcox,Ariz.,Arizona
Onawa Democrat,Onawa,Iowa,Iowa
Holtville Tribune,Holtville,Calif.,California
Mount Olive Chronicle,Chester,N.J.,New Jersey
Lawrence Ledger The,Lawrence Township,N.J.,New Jersey
News-Sickle-Arrow,Black Earth,Wisc.,Wisconsin
Richwood Gazette,Richwood,Ohio,Ohio
Campbellsport News,Campbellsport,Wisc.,Wisconsin
Springtown Epigraph,Springtown,Texas,Texas
Spring Hill New Era,Gardner,Kan.,Kansas
The Sentinel of Gloucester County,Malaga,N.J.,New Jersey
Times Observer,Oregon,Mo.,Missouri
Kent County Daily Times,West Warwick,R.I.,Rhode Island
Decatur Republican,Decatur,Mich.,Michigan
Timpson and Tenaha News,Timpson,Texas,Texas
Waseca County News,Waseca,Minn.,Minnesota
Goodland Star News,Goodland,Kan.,Kansas
Madison Eagle,Madison,N.J.,New Jersey
Goliad Advance-Guard,Goliad,Texas,Texas
News Bulletin,Castroville,Texas,Texas
Bulverde Standard,Bulverde,Texas,Texas
Hometown Press,Winnie,Texas,Texas
Kaplan Herald,Kaplan,La.,Louisiana
Navasota Star,Navasota,Texas,Texas
Lexington Leader,Lexington,Texas,Texas
Junction Eagle,Junction,Texas,Texas
Zachary Plainsman,Baker,La.,Louisiana
Twin City News,Chattahoochee,Fla.,Florida
St Francisville Democrat,St Francisville,La.,Louisiana
Groveton News,Groveton,Texas,Texas
Brantley Enterprise,Nahunta,Ga.,Georgia
Ocilla Star,Ocilla,Ga.,Georgia
Fairfield Recorder,Fairfield,Texas,Texas
De Leon Free Press,De Leon,Texas,Texas
Joshua Star,Joshua,Texas,Texas
Julian News,Julian,Calif.,California
Holmes County Herald,Lexington,Miss.,Mississippi
Haskell Free Press,Haskell,Texas,Texas
Nashville Leader,Nashville,Ark.,Arkansas
Loris Scene,Loris,S.C.,South Carolina
Powdersville Post,Powdersville,S.C.,South Carolina
Mangum Star-News,Mangum,Okla.,Oklahoma
Guadalupe County Communicator,Santa Rosa,N.M.,New Mexico
Hendersonville Lightning,Hendersonville,N.C.,North Carolina
Henryetta Free Lance,Henryetta,Okla.,Oklahoma
North-Stoddard Countian,Bloomfield,Mo.,Missouri
Montgomery County Chronicle,Caney,Kan.,Kansas
Herald-Ledger The,Eddyville,Ky.,Kentucky
Wellington Daily News,Wellington,Kan.,Kansas
Industrial News,Iaeger,W.Va.,West Virginia
Pratt Tribune The,Pratt,Kan.,Kansas
Journal Messenger,Marissa,Ill.,Illinois
St Elmo Banner,St Elmo,Ill.,Illinois
Smithville Herald,Smithville,Mo.,Missouri
Clear Creek Courant,Idaho Springs,Colo.,Colorado
Phillips County Review,Phillipsburg,Kan.,Kansas
Payson Chronicle,Payson,Utah,Utah
Middletown News,Middletown,Ind.,Indiana
Versailles Policy,Versailles,Ohio,Ohio
Battle Mountain Bugle,Battle Mountain,Nev.,Nevada
Berne Tri Weekly News,Berne,Ind.,Indiana
Bloomfield Democrat,Bloomfield,Iowa,Iowa
News-Journal,North Manchester,Ind.,Indiana
New London Record,New London,Ohio,Ohio
Henry News Republican,Henry,Ill.,Illinois
Globe Leader,New Wilmington,Pa.,Pennsylvania
Churubusco News,Churubusco,Ind.,Indiana
Adair County Free Press,Greenfield,Iowa,Iowa
Record,Renovo,Pa.,Pennsylvania
Pella Chronicle,Pella,Iowa,Iowa
Garden County News,Oshkosh,Neb.,Nebraska
Missouri Valley Times-News,Missouri Valley,Iowa,Iowa
Journal Era,Berrien Springs,Mich.,Michigan
Hancock HeraldThe,Hancock,N.Y.,New York
Kingston Reporter,Kingston,Mass.,Massachusetts
Salamanca Press,Salamanca,N.Y.,New York
Mountain Eagle,Stamford,N.Y.,New York
Rogue River Press,Rogue River,Ore.,Oregon
Upper Rogue Independent,Eagle Point,Ore.,Oregon
Sherburne News,Sherburne,N.Y.,New York
Amesbury News,Amesbury,Mass.,Massachusetts
Evening Times The,Little Falls,N.Y.,New York
Gregory Times-Advocate,Gregory,S.D.,South Dakota
Westby Times,Westby,Wisc.,Wisconsin
NRHEG Star Eagle,New Richland,Minn.,Minnesota
Tri-County Times,Junction City,Ore.,Oregon
Campbell County Observer,Gillette,Wyo.,Wyoming
Keizertimes The,Keizer,Ore.,Oregon
Osceola Sun,Osceola,Wisc.,Wisconsin
Heppner Gazette Times,Heppner,Ore.,Oregon
Review Independent,Toppenish,Wash.,Washington
Record-Journal,Ferndale,Wash.,Washington
Arctic Sounder,Kotzebue,Alaska,Alaska
Valley Falls Vindicator,Valley Falls,Kan.,Kansas
Kane Republican,Kane,Pa.,Pennsylvania
Randolph Reporter The,Randolph Twp.,N.J.,New Jersey
Republican-Nonpareil,Central City,Neb.,Nebraska
Westford Eagle,Westford,Mass.,Massachusetts
Frankston Citizen,Frankston,Texas,Texas
Reynolds County Courier,Ellington,Mo.,Missouri
Carrollton Democrat,Carrollton,Mo.,Missouri
Kankakee Valley Post-News,Demotte,Ind.,Indiana
Clay County Times Democrat,Rector,Ark.,Arkansas
Review Republican,Attica,Ind.,Indiana
Fulton-Hickman Free Press,Fulton,Ky.,Kentucky
Traveler-Watchman,Southold,N.Y.,New York
Westchester Suburban Life,Westchester,Ill.,Illinois
Sherwood Voice,Sherwood,Ark.,Arkansas
Palacios Beacon,Palacios,Texas,Texas
Wyvernwood Chronicle,Los Angeles,Calif.,California
San Carlos Apache Moccasin,Globe,Ariz.,Arizona
DeKalb County Record-Herald,Maysville,Mo.,Missouri
Newton County Times,Jasper,Ark.,Arkansas
Sandy Post,Sandy,Ore.,Oregon
Mahnomen PioneerThe,Mahnomen,Minn.,Minnesota
Miner County Pioneer,Howard,S.D.,South Dakota
Story City Herald,Story City,Iowa,Iowa
Mercedes Enterprise,Mercedes,Texas,Texas
Independent Observer,Conrad,Mont.,Montana
Colby Free Press,Colby,Kan.,Kansas
Britton Journal,Britton,S.D.,South Dakota
Marion Press,Marion,Mich.,Michigan
Montgomery Monitor,Montgomery,Ga.,Georgia
North Weld Herald-Voice,Kersey,Colo.,Colorado
Redfield Press,Redfield,S.D.,South Dakota
Carver Reporter,Carver,Mass.,Massachusetts
Hanover Mariner,Hanover,Mass.,Massachusetts
Jackson County Pilot,Jackson,Minn.,Minnesota
Coolidge Examiner,Coolidge,Ariz.,Arizona
News-Herald,Port Clinton,Ohio,Ohio
Garden City Observer,Garden City,Mich.,Michigan
Shelby County Herald,Shelbyville,Mo.,Missouri
Middle Park Times,Kremmling,Colo.,Colorado
Cohasset Mariner,Cohasset,Mass.,Massachusetts
Mt Zion Region NewsThe,Mt. Zion,Ill.,Illinois
Nogales International,Nogales,Ariz.,Arizona
Kingsburg Recorder,Kingsburg,Calif.,California
Clinton Courier,Clinton,N.Y.,New York
Breckenridge American,Breckenridge,Texas,Texas
Warren Sheaf,Warren,Minn.,Minnesota
Slatonite,Slaton,Texas,Texas
Hot Springs Star,Hot Springs,S.D.,South Dakota
Delano Herald Journal,Montrose,Minn.,Minnesota
Pine River Times,Bayfield,Colo.,Colorado
Paper,Barry,Ill.,Illinois
Southern Ulster Times,Marlboro,N.Y.,New York
Oakland Independent,Oakland,Neb.,Nebraska
Washburn County Register,Shell Lake,Wisc.,Wisconsin
Lincoln County News,Carrizozo,N.M.,New Mexico
Billerica Minuteman,Billerica,Mass.,Massachusetts
Des Moines County News,West Burlington,Iowa,Iowa
Fountain County Neighbor,Attica,Ind.,Indiana
Western Nebraska Observer,Kimball,Neb.,Nebraska
Akron Bugle,Akron,N.Y.,New York
McGregor Mirror & Crawford Sun,McGregor,Texas,Texas
Webster County Citizen,Seymour,Mo.,Missouri
Post-Herald,Red Creek,N.Y.,New York
Islands Weekly,Lopez Island,Wash.,Washington
Bienville Democrat,Arcadia,La.,Louisiana
Belmont and Tishomingo JournalThe,Belmont,Miss.,Mississippi
Journal,Camp Verde,Ariz.,Arizona
Hammonton Gazette The,Hammonton,N.J.,New Jersey
Berthoud Recorder,Berthoud,Colo.,Colorado
